inventory_id,inventory_location,item_id,item_category,company,target_audience,no_items_recieved,no_items_remaining,date_recieved,selling_price,release_year,demand_factor,net_profit(%),num_days,currently_inventory,date_sent,inventory_sent
id_101,Bangalore,id_1,Mobile,Apple,Personal,31,31,15-09-2018,29356,2014,38,6.56,58,1,,
id_101,Bangalore,id_5,Processor,Intel,Personal,25,23,12-08-2018,32805,2016,45,11.27,92,1,,
id_101,Bangalore,id_9,Laptop,Google,Personal,78,66,03-08-2018,4019,2013,6,7.52,101,1,,
id_101,Bangalore,id_13,Keyboard,Apple,Personal,95,47,24-08-2018,32118,2013,32,4.83,80,1,,
id_101,Bangalore,id_17,Processor,AMD,Personal,59,3,26-09-2018,13870,2017,12,6.79,47,1,,
id_101,Bangalore,id_21,Processor,Intel,Offices,96,75,08-09-2018,56391,2018,42,8.92,65,1,,
id_101,Bangalore,id_25,Mobile,Samsung,Personal,28,11,08-09-2018,24742,2018,30,4.63,65,1,,
id_101,Bangalore,id_29,Laptop,Google,Offices,76,72,22-07-2018,14672,2014,13,5.12,113,1,,
id_101,Bangalore,id_33,Laptop,Apple,Offices,6,4,04-10-2018,10861,2016,29,4.58,39,1,,
id_101,Bangalore,id_37,Monitor,Apple,Offices,10,1,18-08-2018,70216,2014,8,6.82,86,1,,
id_101,Bangalore,id_41,Monitor,Apple,Personal,3,1,12-10-2018,86721,2016,43,13.52,31,1,,
id_101,Bangalore,id_45,Monitor,Apple,Offices,16,10,10-08-2018,63203,2017,64,14.91,94,1,,
id_101,Bangalore,id_49,Mobile,Apple,Personal,78,1,07-09-2018,42110,2017,29,7.15,66,1,,
id_101,Bangalore,id_53,Processor,AMD,Personal,62,31,19-09-2018,44787,2015,57,7.12,54,1,,
id_101,Bangalore,id_57,Keyboard,Samsung,Offices,61,58,13-10-2018,46565,2015,65,4,30,1,,
id_101,Bangalore,id_61,Mobile,Google,Personal,24,14,29-09-2018,6912,2016,57,13.59,44,1,,
id_101,Bangalore,id_65,Monitor,Apple,Offices,36,36,15-10-2018,72271,2018,65,4.76,28,1,,
id_101,Bangalore,id_69,Processor,Intel,Offices,87,58,10-08-2018,97575,2016,62,4.07,94,1,,
id_101,Bangalore,id_73,Mobile,Google,Personal,71,66,24-07-2018,9140,2016,42,10.91,111,1,,
id_101,Bangalore,id_77,Monitor,Dell,Personal,68,38,10-10-2018,13949,2014,36,13.15,33,1,,
id_101,Bangalore,id_81,Mobile,Google,Personal,80,60,04-09-2018,36355,2014,41,5,69,1,,
id_101,Bangalore,id_85,Keyboard,Samsung,Personal,24,4,12-08-2018,33086,2013,44,5.22,92,1,,
id_101,Bangalore,id_89,Keyboard,Apple,Offices,70,37,07-09-2018,74262,2014,49,6.95,66,1,,
id_101,Bangalore,id_93,Laptop,Dell,Offices,6,3,29-07-2018,74978,2017,20,14.17,106,1,,
id_101,Bangalore,id_97,Mobile,Oppo,Personal,26,12,02-08-2018,9612,2018,26,4.32,102,1,,
id_101,Bangalore,id_101,Processor,AMD,Personal,11,7,15-10-2018,61539,2015,14,10.44,28,1,,
